Discharge location,lat,lon
MULUGU_SPI,17,78
PATANCHERU_SPI,17,78
PATANCHERU_SPI,17,78
SHANKARAPALLI_SPI,17,78
ATHMAKUR(S)_SPI,17,79
ATMAKUR_SPI,17,79
BHONGIR_SPI,17,78
BHONGIR_SPI,17,78
BIBINAGAR_SPI,17,78
CHANDUR_SPI,16,78
CHILKUR_SPI,17,78
CHINTHAPALLY_SPI,16,78
CHITYAL_SPI,17,79
CHIVEMLA_SPI,17,79
CHOUTUPPAL_SPI,17,79
DAMERCHERLA_SPI,16,79
DEVARKONDA_SPI,16,78
DINDI_SPI,16,78
DINDI/GUNDLAPALLREV_SPI,16,78
GARIDEPALLY_SPI,16,78
GUNDALA_SPI,17,79
GUNRAPALLY_SPI,17,78
HUZURNAGAR_SPI,16,79
KATTANGUR_SPI,17,79
MARRIGUDA_SPI,16,78
MATTAMPALLY_SPI,16,79
MEDLACHERU_SPI,16,79
MIRYALGUDA_SPI,16,79
MOTHEY_SPI,17,79
MOTHKUR_SPI,17,79
MUNAGALA_SPI,17,79
MUNUGODE_SPI,17,79
MUSI_SPI,17,78
NADIGUDAM_SPI,16,78
NADIGUDEM_SPI,17,79
NAGARAM_SPI,17,79
NAGARJUNSAGARDAMPWD_SPI,16,79
NAKREKAL_SPI,17,79
NALGONDA_SPI,17,79
NALGONDA_SPI,17,79
NALGONDA_SPI,17,79
NAMPALLY_SPI,16,78
NARAYANAPURAM_SPI,17,79
NARAYANPUR_SPI,17,79
NARKETPALLY_SPI,17,79
NIDMANOOR_SPI,16,79
NOOTHANAKAL_SPI,17,79
PALLIWADA_SPI,17,79
PEDDAVOORA_SPI,16,79
PENDLIOAKALA_SPI,16,78
POCHAMPALLY_SPI,17,79
RAJAPET_SPI,17,79
RAMANNAPET_SPI,17,79
SIVANNAGADDA_SPI,17,78
SURYAPET_SPI,17,79
TUNGATURTHY_SPI,17,79
TURKAPALLY_SPI,17,78
VALIGONDA_SPI,17,79
AMEERPET_SPI,17,78
BALANAGAR_SPI,16,78
BALKAPUR_SPI,17,78
GANDIPET%OSMANSA_SPI,17,78
GHATKESAR_SPI,17,78
HIMAYATSAGAR_SPI,17,78
HYDERABAD/SHANSH_SPI,17,78
IBRAHIMPATNAM_SPI,17,78
JANWADA_SPI,17,78
KANDUKUR_SPI,17,78
KEESARA_SPI,17,78
KULKACHERLA_SPI,17,77
LAKNAPUR_SPI,17,77
MAHESHWARAM_SPI,17,79
MEDCHAL_SPI,17,78
MEDCHEL/MANCHAL_SPI,17,78
MEERKHANPET_SPI,17,78
NAWABPET_SPI,16,78
SHAHABAD%CHEVELLREV_SPI,17,78
SHAMIRPET_SPI,17,79
SHAMSHABAD_SPI,17,78
SHANKERPALLY_SPI,17,78
UPPAL_SPI,17,78
YACHARAM_SPI,16,79
ATHMAKUR_SPI,17,79
CHITYAL_SPI,17,79
DHARMASAGAR_SPI,17,79
DORNAKAL_SPI,17,80
